代码,名称,时间,每股收益,每股净资产,净资产收益率,资产负债率,流动比率,总资产周转率,yield
000639.SZ,西王食品,2018/3/31,0.15,7.21,2.69,46.9,1.98,0.169,-15.3
000650.SZ,仁和药业,2018/3/31,0.086,2.52,3.48,17.5,3.4,0.245,25.7
000651.SZ,格力电器,2018/3/31,0.93,11.8,8.18,66.9,1.18,0.185,0.533
000652.SZ,泰达股份,2018/3/31,-0.0089,2.55,-0.347,86.1,1.29,0.108,-30.9
000655.SZ,金岭矿业,2018/3/31,0.025,3.88,0.635,12.9,3.47,0.0923,-43.8
000656.SZ,金科股份,2018/3/31,0.02,3.41,0.86,86.2,1.7,0.0332,-12.4
000657.SZ,中钨高新,2018/3/31,0.0914,5.02,1.84,51.1,1.53,0.236,-6.86
000659.SZ,珠海中富,2018/3/31,-0.01,0.504,-1.74,78.3,1.03,0.141,-24.9
000661.SZ,长春高新,2018/3/31,1.24,26.4,4.71,30.9,2.52,0.136,24.5
000663.SZ,*ST永林,2018/3/31,-0.07,6.32,-1.12,46.1,1.16,0.03,-39.9
000665.SZ,湖北广电,2018/3/31,0.15,9.39,1.56,35.6,0.359,0.0661,-15.6
000666.SZ,经纬纺机,2018/3/31,0.191,10.9,1.76,46.9,1.67,0.0469,-5.64E-08
000667.SZ,美好置业,2018/3/31,-0.0531,2.71,-1.94,63.1,1.77,0.0102,-28.3
000668.SZ,荣丰控股,2018/3/31,0.02,4.2,0.414,72.6,2.72,0.0126,-15.6
000669.SZ,*ST金鸿,2018/3/31,0.178,8.66,2.07,63.6,0.456,0.0752,-13.2
000670.SZ,*ST盈方,2018/3/31,-0.0212,0.429,-4.86,16.5,1.69,0.0753,-9.65
000671.SZ,阳光城,2018/3/31,0.0554,3.8,1.17,86.8,1.7,0.0196,-22.5
000672.SZ,上峰水泥,2018/3/31,0.204,2.96,7.14,60.3,0.835,0.135,-25.5
000673.SZ,*ST当代,2018/3/31,0.118,2.85,4.22,39.6,1.86,0.0626,19.1
000676.SZ,智度股份,2018/3/31,0.208,5.38,3.92,29.2,2.41,0.294,2.91
000677.SZ,恒天海龙,2018/3/31,-6.00E-04,0.315,-0.178,24.4,1.74,0.177,21.3
000678.SZ,襄阳轴承,2018/3/31,0.001,2.72,0.0346,55,0.969,0.135,-7.77
000679.SZ,大连友谊,2018/3/31,0.0183,3.8,0.482,75,1.48,0.0476,-23.6
000680.SZ,山推股份,2018/3/31,0.0339,2.7,1.26,63.9,1.26,0.215,-21.1
000681.SZ,视觉中国,2018/3/31,0.057,3.7,1.55,34.1,1.08,0.0385,4.14
000682.SZ,东方电子,2018/3/31,0.0078,1.79,0.435,33.3,2.56,0.0973,-12.5
000683.SZ,远兴能源,2018/3/31,0.08,2.3,3.47,51.8,0.604,0.102,5.61
000685.SZ,中山公用,2018/3/31,0.13,8.22,1.57,23,0.76,0.0231,-20.7
000686.SZ,东北证券,2018/3/31,0.06,6.66,0.85,73,0,0.0155,-17.3
000687.SZ,*ST华讯,2018/3/31,0.0233,1.95,1.24,65.5,1.46,0.0875,-15.1
000688.SZ,国城矿业,2018/3/31,0.0972,2.01,4.96,7.45,7.27,0.128,18.8
000690.SZ,宝新能源,2018/3/31,0.03,3.92,0.755,53.9,3.58,0.051,-14.9
000691.SZ,亚太实业,2018/3/31,-0.0042,0.226,-1.86,64.6,1.86,0.0313,-37.2
000692.SZ,惠天热电,2018/3/31,-0.118,2.37,-4.87,74.9,0.559,0.176,-21.4
000695.SZ,滨海能源,2018/3/31,0.011,1.53,0.731,71.6,0.716,0.248,-10.5
000697.SZ,炼石航空,2018/3/31,-0.0456,2.62,-1.72,68.5,0.373,0.0673,-25.3
000698.SZ,沈阳化工,2018/3/31,0.044,5.42,0.824,52.6,0.75,0.224,-22.7
000700.SZ,模塑科技,2018/3/31,0.013,3.06,0.401,62.9,0.733,0.143,-23.5
000701.SZ,厦门信达,2018/3/31,0.0033,7.8,0.616,73.2,1.14,0.59,-29.6
000702.SZ,正虹科技,2018/3/31,0.155,1.91,8.42,29.5,1.72,0.395,-13.9
000703.SZ,恒逸石化,2018/3/31,0.43,7.57,5.74,56,0.641,0.445,-19.3
000705.SZ,浙江震元,2018/3/31,0.0434,4.18,1.05,34.3,1.73,0.337,-20.8
000707.SZ,*ST双环,2018/3/31,-0.202,0.575,-29.1,96.2,0.599,0.0919,-35.9
000708.SZ,中信特钢,2018/3/31,0.202,9.17,2.22,39.4,1.64,0.45,-8.42
000709.SZ,河钢股份,2018/3/31,0.035,4.35,0.81,75,0.486,0.131,-13.2
000710.SZ,贝瑞基因,2018/3/31,0.185,4.53,4.18,9.08,7.09,0.165,3.18
000711.SZ,京蓝科技,2018/3/31,-0.11,5.7,-1.91,53.1,1.26,0.0131,-9.98E-08
000712.SZ,锦龙股份,2018/3/31,0.042,4.17,1,84,0,0.00935,-35.5
000713.SZ,丰乐种业,2018/3/31,0.0518,4.52,1.15,35.9,1.71,0.208,-12.3
000715.SZ,中兴商业,2018/3/31,0.0612,4.62,1.33,41.2,1.54,0.313,-21.2
000716.SZ,黑芝麻,2018/3/31,0.018,3.66,0.485,45,1.24,0.11,-31.4
000717.SZ,韶钢松山,2018/3/31,0.355,1.58,25.2,72.4,0.402,0.431,5.47
000718.SZ,苏宁环球,2018/3/31,0.0896,2.76,3.3,51.6,1.77,0.0407,-7.53
000719.SZ,中原传媒,2018/3/31,0.08,7.1,1.07,36.4,2.06,0.142,-20.3
000720.SZ,新能泰山,2018/3/31,0.45,1.31,41.4,68.5,2.37,0.0567,-12.7
000721.SZ,西安饮食,2018/3/31,-0.0161,1.31,-1.22,37.4,2.05,0.113,-24
000722.SZ,湖南发展,2018/3/31,0.04,6.04,0.695,6.74,13,0.0176,-31.2
000723.SZ,美锦能源,2018/3/31,0.076,1.96,3.95,39.2,1.22,0.225,0
000725.SZ,京东方A,2018/3/31,0.058,2.49,2.36,59.5,1.94,0.0831,-32.5
000726.SZ,鲁泰A,2018/3/31,0.17,7.99,2.18,24,1.76,0.148,8.12
000727.SZ,冠捷科技,2018/3/31,-0.0529,2.33,-2.25,45.1,0.838,0.0315,-22.3
000728.SZ,国元证券,2018/3/31,0.05,7.53,0.656,68.6,0,0.00785,-19.2
000729.SZ,燕京啤酒,2018/3/31,0.019,4.58,0.421,24.4,1.46,0.181,-11.8
000731.SZ,四川美丰,2018/3/31,0.0806,4.52,1.8,34.2,1.39,0.132,-28.7
000732.SZ,泰禾集团,2018/3/31,0.191,13.5,1.45,88.5,1.98,0.0276,-29.7
000733.SZ,振华科技,2018/3/31,0.18,9.02,2.05,51.6,1.82,0.164,-2.06
000735.SZ,罗牛山,2018/3/31,0.288,3.36,8.93,38.6,1.44,0.0321,25.1
000736.SZ,中交地产,2018/3/31,0.05,7.11,0.744,89.1,1.54,0.0139,-8.01
000737.SZ,南风化工,2018/3/31,-0.0816,-0.539,0,113,0.491,0.198,-22.8
